"Aston Martin","DB5 Superleggera","coupé","Essence","725 chevaux 6 500 tr/m","automatique",2,1390,11,2200,3,8000,true,30,120,80,3
"Aston Martin","Vantage V12 Bi-Turbo","coupé","Essence","426 ch 4700 tr/mn","automatique",2,1110,9,1850,2,15000,true,30,120,80,2
"Aston Martin","DB11 V8 4.0-Turbo","coupé","Essence","510 ch 6000 tr/min","automatique",2,1459,11,2100,2,15000,true,30,120,80,2
"Aston Martin","Rapide-V12"," berline","Essence","477 ch 6000 tr/min","automatique",4,1325,10,2100,2,18000,true,30,120,80,2
"Aston Martin","Vanquish-V12","cabriolet","Essence","573 ch 6750 tr/min","automatique",2,1299,11,2050,3,20000,true,30,120,80,3
"Audi","A8 TFSI",berline,"hybride","500 ch  6200 tr/min","automatique",4,1150,9,1985,2,22000,true,30,120,80,2
"Audi","A6 -TDI quattro","break","Diesel","245 ch  4000 tr/min","manuelle",4,999,10,1420,2,15000,true,30,120,80,2
"Audi"," Q5 TDI quattro S tronic","suv"," Diesel","240 ch 4000 tr/min","manuelle",5,1320,12,2099,2,18000,true,30,120,80,2
"Audi","Q7 TFSI e quattro ","suv","hybride","456 ch  3250 tr/min","automatique",7,1280,11,2090,3,20000,true,30,120,80,3
"Audi","R8 - V10 Performance quattro","coupé","Essence","620 ch 8000 tr/min","automatique",2,1350,12,1980,2,15000,true,30,120,80,2
"Audi","RS7 - SPORTBACK performance V8","berline","Essence","605 ch 6100 tr/min","automatique",4,789,8,1100,2,15000,true,30,120,80,2
"Audi","TT (8S) RS 2.5","coupé","Essence","272 ch  6000 tr/min","automatique",2,840,9,1360,2,18000,true,30,120,80,2
"Audi","E-TRON Sportback","break","Electrique","508 ch  7200 tr/mn","automatique",4,620,8,1080,2,5700,true,30,120,80,2
"Bentley","CONTINENTAL GT W12","berline","Essence","560 ch NC","automatique",4,1199,11,2220,2,15000,true,30,120,80,2
"Bentley","FLYING SPUR (I) W12","berline","Essence","560 ch 6100 tr/min","manuelle",4,799,9,1469,3,15000,true,30,120,80,3
"Bentley","BENTAYGA Hybrid 449","suv","Hybride","449 ch 4200tr/min","automatique",5,2199,11,3050,2,25000,true,30,120,80,2
"Bentley","MULSANNE Turbo","berline","Essence","350 ch 4000 tr/min","manuelle",4,1299,9,1819,2,8000,true,30,120,80,2
"BMW","SERIE 7 (G12 LCI) 730Ld xDrive ","berline","Diesel","245 ch 4000 tr/min","automatique",4,998,10,1450,2,12000,true,30,120,80,2
